mu_B,pressure,energy_density
1017.00000,10.48382,196.15323
1017.10000,10.50414,196.28330
1017.20000,10.52448,196.41334
1017.30000,10.54483,196.54334
1017.40000,10.56520,196.67327
1017.50000,10.58557,196.80311
1017.60000,10.60596,196.93284
1017.70000,10.62636,197.06247
1017.80000,10.64678,197.19196
1017.90000,10.66720,197.32144
1018.00000,10.68764,197.45084
1018.10000,10.70809,197.58013
1018.20000,10.72856,197.70933
1018.30000,10.74904,197.83845
1018.40000,10.76953,197.96753
1018.50000,10.79003,198.09649
1018.60000,10.81055,198.22532
1018.70000,10.83107,198.35402
1018.80000,10.85161,198.48264
1018.90000,10.87217,198.61122
1019.00000,10.89273,198.73968
1019.10000,10.91331,198.86807
1019.20000,10.93390,198.99635
1019.30000,10.95451,199.12464
1019.40000,10.97512,199.25284
1019.50000,10.99575,199.38094
1019.60000,11.01640,199.50894
1019.70000,11.03705,199.63688
1019.80000,11.05772,199.76479
1019.90000,11.07840,199.89257
1020.00000,11.09909,200.02026
1020.10000,11.11979,200.14780
1020.20000,11.14051,200.27528
1020.30000,11.16124,200.40270
1020.40000,11.18198,200.52999
1020.50000,11.20273,200.65721
1020.60000,11.22350,200.78429
1020.70000,11.24428,200.91138
1020.80000,11.26507,201.03839
1020.90000,11.28587,201.16536
1021.00000,11.30669,201.29223
1021.10000,11.32752,201.41894
1021.20000,11.34836,201.54561
1021.30000,11.36921,201.67218
1021.40000,11.39008,201.79873
1021.50000,11.41096,201.92518
1021.60000,11.43185,202.05155
1021.70000,11.45275,202.17788
1021.80000,11.47367,202.30412
1021.90000,11.49460,202.43027
1022.00000,11.51554,202.55624
1022.10000,11.53649,202.68211
1022.20000,11.55745,202.80794
1022.30000,11.57843,202.93369
1022.40000,11.59942,203.05942
1022.50000,11.62042,203.18503
1022.60000,11.64144,203.31063
1022.70000,11.66246,203.43613
1022.80000,11.68350,203.56156
1022.90000,11.70455,203.68687
1023.00000,11.72562,203.81207
1023.10000,11.74669,203.93720
1023.20000,11.76778,204.06227
1023.30000,11.78888,204.18727
1023.40000,11.80999,204.31219
1023.50000,11.83111,204.43694
1023.60000,11.85225,204.56170
1023.70000,11.87340,204.68639
1023.80000,11.89456,204.81102
1023.90000,11.91573,204.93558
1024.00000,11.93692,205.06005
1024.10000,11.95812,205.18449
1024.20000,11.97932,205.30884
1024.30000,12.00055,205.43312
1024.40000,12.02178,205.55727
1024.50000,12.04303,205.68134
1024.60000,12.06428,205.80533
1024.70000,12.08555,205.92926
1024.80000,12.10684,206.05311
1024.90000,12.12813,206.17687
1025.00000,12.14944,206.30056
1025.10000,12.17075,206.42422
1025.20000,12.19208,206.54781
1025.30000,12.21343,206.67129
1025.40000,12.23478,206.79468
1025.50000,12.25615,206.91803
1025.60000,12.27753,207.04124
1025.70000,12.29892,207.16441
1025.80000,12.32032,207.28746
1025.90000,12.34173,207.41046
1026.00000,12.36316,207.53343
1026.10000,12.38460,207.65632
1026.20000,12.40605,207.77915
1026.30000,12.42751,207.90186
1026.40000,12.44899,208.02455
1026.50000,12.47047,208.14713
1026.60000,12.49197,208.26962
1026.70000,12.51348,208.39206
1026.80000,12.53500,208.51439
1026.90000,12.55654,208.63666
1027.00000,12.57808,208.75889
1027.10000,12.59964,208.88105
1027.20000,12.62121,209.00312
1027.30000,12.64279,209.12513
1027.40000,12.66438,209.24709
1027.50000,12.68599,209.36894
1027.60000,12.70761,209.49072
1027.70000,12.72924,209.61244
1027.80000,12.75088,209.73407
1027.90000,12.77253,209.85559
1028.00000,12.79419,209.97709
1028.10000,12.81587,210.09855
1028.20000,12.83756,210.21989
1028.30000,12.85926,210.34115
1028.40000,12.88097,210.46235
1028.50000,12.90269,210.58348
1028.60000,12.92443,210.70458
1028.70000,12.94618,210.82561
1028.80000,12.96793,210.94660
1028.90000,12.98970,211.06750
1029.00000,13.01149,211.18837
1029.10000,13.03328,211.30912
1029.20000,13.05509,211.42977
1029.30000,13.07690,211.55033
1029.40000,13.09873,211.67082
1029.50000,13.12057,211.79124
1029.60000,13.14243,211.91161
1029.70000,13.16429,212.03192
1029.80000,13.18617,212.15213
1029.90000,13.20805,212.27230
1030.00000,13.22995,212.39242
1030.10000,13.25186,212.51246
1030.20000,13.27379,212.63246
1030.30000,13.29572,212.75240
1030.40000,13.31767,212.87228
1030.50000,13.33963,212.99208
